Date_Time,KSLCPress,KSLCTemp,KSLCHumid,KSLCWind,KSLCCloud3,KSLCCloud1,KSLCCloud2,KSLCVis
2022-11-30 23:00:00+00:00,29.858461538461537,39.10307692307693,50.67076923076923,5.753846153846154,2203.0,93.6923076923077,1702.0,10.0
2022-12-01 00:00:00+00:00,29.864615384615384,34.40923076923077,60.402307692307694,5.489230769230769,1.0,186.3846153846154,2003.0,10.0
2022-12-01 01:00:00+00:00,29.856923076923074,33.121538461538464,60.36846153846154,3.539230769230769,1.0,186.3846153846154,2002.0,10.0
2022-12-01 02:00:00+00:00,29.842307692307692,35.918461538461536,55.17923076923077,8.320769230769232,1.0,186.3846153846154,2002.0,10.0
2022-12-01 03:00:00+00:00,29.841538461538462,42.924615384615386,38.35076923076923,14.252307692307692,1.0,78.3076923076923,1403.0,10.0
2022-12-01 04:00:00+00:00,29.85,42.980000000000004,38.28153846153846,13.102307692307694,1.0,155.6153846153846,1403.0,10.0
2022-12-01 05:00:00+00:00,29.849230769230772,42.176923076923075,40.70384615384615,12.04076923076923,1.0,221.3846153846154,1303.0,10.0
2022-12-01 06:00:00+00:00,29.846923076923076,42.68923076923076,40.51307692307692,10.183076923076923,1.0,232.92307692307693,1403.0,10.0
2022-12-01 07:00:00+00:00,29.82923076923077,43.79692307692308,39.41461538461538,10.360000000000001,1.0,988.1538461538462,1203.0,10.0
2022-12-01 08:00:00+00:00,29.806153846153848,44.198461538461544,38.790000000000006,8.855384615384615,1.0,633.6923076923077,1503.0,10.0
2022-12-01 09:00:00+00:00,29.787692307692307,43.04923076923077,41.21076923076923,7.97,1.0,232.07692307692307,1.0,10.0
2022-12-01 10:00:00+00:00,29.762307692307694,44.51692307692308,36.931538461538466,16.906153846153845,1.0,347.38461538461536,1.0,10.0
2022-12-01 11:00:00+00:00,29.746923076923075,43.25692307692308,37.963076923076926,17.34846153846154,1.0,232.53846153846155,1.0,10.0
2022-12-01 12:00:00+00:00,29.725384615384616,42.4676923076923,38.293846153846154,17.967692307692307,1.0,232.53846153846155,2003.0,10.0
2022-12-01 13:00:00+00:00,29.724615384615387,42.16307692307692,39.65461538461538,19.913846153846155,1.0,416.84615384615387,1.0,10.0
2022-12-01 14:00:00+00:00,29.726153846153846,42.21846153846153,39.21230769230769,16.64076923076923,2403.0,217.15384615384616,2002.0,10.0
2022-12-01 15:00:00+00:00,29.726923076923075,44.364615384615384,37.15769230769231,14.783076923076923,1.0,108.76923076923077,2303.0,10.0
2022-12-01 16:00:00+00:00,29.712307692307693,46.70461538461538,35.745384615384616,22.307692307692307,1.0,247.46153846153845,2303.0,10.0
2022-12-01 17:00:00+00:00,29.725384615384616,46.77384615384615,36.03923076923077,21.33153846153846,2303.0,132.53846153846155,1403.0,10.0
2022-12-01 18:00:00+00:00,29.720000000000002,48.3523076923077,34.16538461538461,22.75153846153846,2203.0,132.53846153846155,1402.0,10.0
2022-12-01 19:00:00+00:00,29.694615384615382,50.526153846153846,31.10923076923077,25.584615384615386,2103.0,140.23076923076923,1403.0,10.0
2022-12-01 20:00:00+00:00,29.674615384615382,51.24615384615384,30.228461538461538,25.584615384615386,2103.0,140.23076923076923,1603.0,10.0
2022-12-01 21:00:00+00:00,29.671538461538464,51.50923076923077,29.956153846153846,21.422307692307694,2003.0,695.1538461538462,1203.0,10.0
2022-12-01 22:00:00+00:00,29.655384615384612,51.74461538461538,29.74846153846154,23.549230769230768,1670.6666666666667,1114.3076923076924,1103.0,10.0
2022-12-01 23:00:00+00:00,29.643076923076926,51.73076923076923,30.13769230769231,20.091538461538462,1203.0,988.9230769230769,1003.0,10.0
2022-12-02 00:00:00+00:00,29.638461538461538,51.53692307692308,30.874615384615385,20.534615384615385,1553.5,988.2307692307693,1070.0,10.0
2022-12-02 01:00:00+00:00,29.62769230769231,51.190769230769234,31.61,22.306153846153848,1.0,1072.2307692307693,1203.6,10.0
2022-12-02 02:00:00+00:00,29.61769230769231,51.356923076923074,32.38461538461539,27.177692307692308,1.0,1011.3846153846154,1104.0,10.0
2022-12-02 03:00:00+00:00,29.604615384615386,50.66461538461538,34.40538461538461,29.123846153846156,1.0,1092.6153846153845,1104.0,9.76923076923077
2022-12-02 04:00:00+00:00,29.588461538461537,50.0,37.00923076923077,31.424615384615382,1.0,1126.1538461538462,1203.0,10.0
2022-12-02 05:00:00+00:00,29.571538461538463,49.113846153846154,38.551538461538456,29.743076923076924,1.0,1057.1538461538462,1336.3333333333333,10.0
2022-12-02 06:00:00+00:00,29.56,48.643076923076926,40.08384615384615,27.70846153846154,1.0,1042.6923076923076,1404.0,10.0
2022-12-02 07:00:00+00:00,29.553846153846152,48.83692307692308,41.427692307692304,28.06230769230769,1.0,779.7692307692307,1.0,10.0
2022-12-02 08:00:00+00:00,29.60875,43.4525,57.87125,26.325,911.1428571428571,682.625,587.25,7.359375
2022-12-02 09:00:00+00:00,29.752857142857145,31.639999999999997,90.3442857142857,23.426428571428573,546.5,62.57142857142857,138.6,1.0178571428571428
2022-12-02 10:00:00+00:00,29.83125,30.11,92.67888888888889,13.881874999999999,1.0,74.625,101.5,0.84375
2022-12-02 11:00:00+00:00,29.90692307692308,29.23076923076923,92.18,11.775384615384613,1.0,61.15384615384615,1.0,0.5384615384615384
2022-12-02 12:00:00+00:00,29.94142857142857,28.142857142857142,92.5,16.110000000000003,1.0,104.85714285714286,1.0,0.7857142857142857
2022-12-02 13:00:00+00:00,29.996875,27.21875,92.44090909090909,13.66625,674.0,241.4375,496.5,4.0625
