Date_Time,SnowGain,AGDTemp,AGDHumid,AGDWindSpeed,AGDWindDir,AGDWindGust
2022-12-01 05:00:00+00:00,0.4,29.680000000000003,45.00333333333333,15.646666666666667,258.35,38.29
2022-12-01 06:00:00+00:00,0.4,29.689999999999998,45.535,16.663333333333334,270.25,43.04
2022-12-01 07:00:00+00:00,0.4,27.278333333333332,51.13333333333333,5.703333333333333,191.65,23.89
2022-12-01 08:00:00+00:00,0.09999999999999998,26.633333333333336,56.321666666666665,7.508333333333333,290.35,25.87
2022-12-01 09:00:00+00:00,0.4,29.826666666666668,44.443333333333335,17.335,274.55,32.95
2022-12-01 10:00:00+00:00,0.19999999999999996,30.825,42.64666666666667,18.62666666666667,296.85,42.89
2022-12-01 11:00:00+00:00,1.1,30.435000000000002,46.221666666666664,24.505,257.25,45.58
2022-12-01 12:00:00+00:00,0.10000000000000009,30.323333333333334,43.285000000000004,21.843333333333334,253.8,49.69
2022-12-01 13:00:00+00:00,0.09999999999999998,30.804999999999996,41.01166666666666,24.974999999999998,248.8,50.7
2022-12-01 14:00:00+00:00,0.0,31.048333333333332,42.57666666666667,21.718333333333334,235.15,54.95
2022-12-01 15:00:00+00:00,0.4,31.275000000000002,40.77666666666667,23.126666666666665,241.35000000000002,51.14
2022-12-01 16:00:00+00:00,0.0,31.67,43.001666666666665,22.598333333333333,245.45,57.42
2022-12-01 17:00:00+00:00,0.4,31.465,42.395,15.354999999999999,188.5,45.88
2022-12-01 18:00:00+00:00,0.8,30.55666666666667,45.76833333333334,17.68166666666667,231.5,46.18
2022-12-01 19:00:00+00:00,0.6,30.066666666666666,47.34166666666667,19.573333333333334,243.2,50.55
2022-12-01 20:00:00+00:00,0.0,30.406666666666666,47.805,19.814999999999998,240.8,50.05
2022-12-01 21:00:00+00:00,0.0,30.569999999999997,46.61666666666667,13.998333333333333,223.60000000000002,36.46
2022-12-01 22:00:00+00:00,0.3,30.741666666666664,47.27333333333333,16.791666666666668,230.8,50.34
2022-12-01 23:00:00+00:00,0.4,30.518333333333334,49.055,20.415,238.2,55.17
2022-12-02 00:00:00+00:00,0.29999999999999993,30.231666666666666,51.38333333333333,21.541666666666668,239.5,56.55
2022-12-02 01:00:00+00:00,0.0,29.743333333333336,52.92666666666667,19.905,240.05,47.63
2022-12-02 02:00:00+00:00,0.3,28.551666666666666,60.13166666666667,12.950000000000001,210.7,45.95
2022-12-02 03:00:00+00:00,1.0,27.209999999999997,70.89833333333333,15.4,222.9,44.86
2022-12-02 04:00:00+00:00,1.4000000000000001,24.721666666666664,90.11666666666667,18.945,235.4,45.58
2022-12-02 05:00:00+00:00,2.0,24.906666666666666,90.58333333333333,17.106666666666666,239.1,40.04
2022-12-02 06:00:00+00:00,2.7,24.151666666666667,93.71666666666665,19.57166666666667,232.05,40.77
2022-12-02 07:00:00+00:00,0.9000000000000004,24.09166666666667,94.68333333333334,26.27,239.85,52.82
2022-12-02 08:00:00+00:00,1.7999999999999998,24.276666666666667,93.25,33.74666666666666,241.5,67.08
2022-12-02 09:00:00+00:00,2.0,22.39833333333333,94.25,35.83833333333333,247.2,89.2
2022-12-02 10:00:00+00:00,1.5,16.303333333333335,91.53333333333335,19.391666666666666,251.89999999999998,44.2
2022-12-02 11:00:00+00:00,1.599999999999999,14.331666666666665,90.51666666666667,11.621666666666668,259.2,23.67
2022-12-02 12:00:00+00:00,0.7,13.006666666666668,89.71666666666665,8.906666666666666,274.85,22.65
2022-12-02 13:00:00+00:00,1.0,12.391666666666666,89.39999999999999,12.173333333333332,284.5,27.03
2022-12-02 14:00:00+00:00,0.5999999999999999,11.33,88.81666666666666,14.683333333333332,262.25,34.2
2022-12-02 15:00:00+00:00,0.6000000000000001,10.235,87.38333333333333,17.290000000000003,248.2,34.34
2022-12-02 16:00:00+00:00,0.0,10.613333333333333,85.06666666666666,13.89,257.85,29.3
2022-12-02 17:00:00+00:00,0.0,11.091666666666667,81.29333333333334,14.071666666666667,261.65,30.24
2022-12-02 18:00:00+00:00,0.0,12.291666666666666,74.67999999999999,14.755,257.3,30.83
2022-12-02 19:00:00+00:00,0.19999999999999996,12.86,71.59333333333333,13.928333333333333,261.85,26.96
2022-12-02 20:00:00+00:00,0.0,12.83,68.25,16.008333333333333,244.05,26.73
2022-12-02 21:00:00+00:00,0.0,14.604999999999999,63.77333333333333,6.526666666666666,235.2,15.93
2022-12-02 22:00:00+00:00,0.10000000000000009,13.165,63.26166666666666,4.1450000000000005,242.9,11.54
2022-12-02 23:00:00+00:00,0.09999999999999987,8.845,66.065,0.8483333333333333,74.605,4.1
2022-12-03 00:00:00+00:00,0.0,5.338333333333334,70.25166666666667,1.8216666666666665,300.35,6.87
2022-12-03 01:00:00+00:00,0.3,4.588333333333334,68.61833333333333,2.045,70.595,5.91
2022-12-03 02:00:00+00:00,0.3,6.161666666666666,56.315,2.3649999999999998,67.35,6.43
2022-12-03 03:00:00+00:00,0.4,7.558333333333334,49.19833333333333,3.6666666666666665,68.975,7.31
2022-12-03 04:00:00+00:00,0.0,8.058333333333334,45.84833333333333,4.168333333333333,69.86500000000001,7.38
2022-12-03 05:00:00+00:00,0.0,8.943333333333333,44.20166666666666,3.6016666666666666,69.655,8.4
2022-12-03 06:00:00+00:00,0.8,10.751666666666665,39.98166666666666,3.9933333333333336,70.82,7.59
2022-12-03 07:00:00+00:00,0.4,11.565,40.428333333333335,2.2816666666666667,72.215,5.78
2022-12-03 08:00:00+00:00,0.4,14.196666666666667,38.22666666666667,1.8416666666666668,66.74000000000001,5.63
