Date_Time,KPVUPress,KPVUTemp,KPVUHumid,KPVUWind,KPVUCloud3,KPVUCloud1,KPVUCloud2,KPVUVis
2022-11-30 23:00:00+00:00,29.9,42.370769230769234,33.832307692307694,12.483076923076924,1.0,1.0,1.0,10.0
2022-12-01 00:00:00+00:00,29.901538461538458,38.41076923076923,38.21384615384615,14.783076923076923,1.0,1.0,1.0,10.0
2022-12-01 01:00:00+00:00,29.90692307692308,36.956923076923076,39.93692307692308,13.456153846153846,1.0,1.0,1.0,10.0
2022-12-01 02:00:00+00:00,29.903076923076924,37.58,36.72769230769231,15.844615384615384,1.0,1.0,1.0,10.0
2022-12-01 03:00:00+00:00,29.916153846153847,37.23384615384615,36.45307692307693,15.49076923076923,1.0,1.0,1.0,10.0
2022-12-01 04:00:00+00:00,29.923846153846153,36.956923076923076,35.6,14.163846153846153,1.0,1.0,1.0,10.0
2022-12-01 05:00:00+00:00,29.928461538461537,35.76615384615385,38.496153846153845,13.89846153846154,1.0,1.0,1.0,10.0
2022-12-01 06:00:00+00:00,29.924166666666668,36.32,36.3975,16.3975,1.0,1.0,1.0,10.0
2022-12-01 07:00:00+00:00,29.909230769230767,35.48923076923077,37.61846153846154,18.94076923076923,1.0,1.0,1.0,10.0
2022-12-01 08:00:00+00:00,29.89076923076923,34.58923076923077,39.110769230769236,14.340769230769231,1.0,1.0,1.0,10.0
2022-12-01 09:00:00+00:00,29.874615384615385,35.62769230769231,37.74,13.367692307692307,1.0,1.0,1.0,10.0
2022-12-01 10:00:00+00:00,29.85846153846154,34.72769230769231,40.65384615384615,13.190769230769233,1.0,1.0,1.0,10.0
2022-12-01 11:00:00+00:00,29.838461538461537,34.090769230769226,39.88846153846154,16.817692307692308,1.0,1.0,1.0,10.0
2022-12-01 12:00:00+00:00,29.818461538461538,33.81384615384615,42.52153846153846,15.402307692307694,1.0,1.0,1.0,10.0
2022-12-01 13:00:00+00:00,29.81,34.92153846153846,41.276923076923076,16.375384615384615,1.0,126.41666666666667,2003.0,10.0
2022-12-01 14:00:00+00:00,29.808461538461536,34.31230769230769,43.96153846153846,15.933076923076923,1.0,126.08333333333333,2003.0,10.0
2022-12-01 15:00:00+00:00,29.815384615384616,36.12615384615385,43.573076923076925,14.42923076923077,1.0,137.45454545454547,2003.0,10.0
2022-12-01 16:00:00+00:00,29.819230769230767,37.95384615384615,42.61,13.100769230769231,1.0,137.45454545454547,2003.0,10.0
2022-12-01 17:00:00+00:00,29.817692307692308,42.052307692307686,35.425384615384615,10.977692307692308,1.0,126.16666666666667,2004.0,9.846153846153847
2022-12-01 18:00:00+00:00,29.807692307692307,42.81384615384615,35.73769230769231,13.986923076923079,1.0,126.16666666666667,2004.0,10.0
2022-12-01 19:00:00+00:00,29.782307692307693,44.28153846153846,33.39846153846154,15.49076923076923,1.0,1111.923076923077,1.0,10.0
2022-12-01 20:00:00+00:00,29.75692307692308,44.558461538461536,33.534615384615385,13.456153846153846,1.0,1148.7692307692307,1.0,10.0
2022-12-01 21:00:00+00:00,29.74384615384615,44.558461538461536,33.534615384615385,9.032307692307693,1.0,957.2307692307693,1.0,10.0
2022-12-01 22:00:00+00:00,29.732307692307693,44.073846153846155,36.43,9.563846153846155,1.0,1037.923076923077,1153.8333333333333,9.846153846153847
2022-12-01 23:00:00+00:00,29.719230769230766,44.83538461538462,35.183846153846154,11.244615384615384,1.0,1111.6923076923076,1.0,10.0
2022-12-02 00:00:00+00:00,29.714615384615385,42.57846153846154,39.635384615384616,7.083846153846154,1.0,1118.076923076923,1.0,10.0
2022-12-02 01:00:00+00:00,29.72307692307692,43.02153846153846,38.97538461538461,3.0969230769230767,1.0,1061.2307692307693,1104.0,10.0
2022-12-02 02:00:00+00:00,29.72307692307692,45.54153846153846,34.97615384615385,6.993846153846154,1.0,977.0769230769231,1.0,10.0
2022-12-02 03:00:00+00:00,29.714615384615385,46.856923076923074,36.07769230769231,10.27,1.0,942.7692307692307,954.0,10.0
2022-12-02 04:00:00+00:00,29.693076923076923,46.441538461538464,41.53615384615385,22.75076923076923,1.0,851.0,968.2857142857143,10.0
2022-12-02 05:00:00+00:00,29.672307692307694,45.87384615384615,43.308461538461536,22.306923076923077,1.0,1046.1538461538462,1103.0,10.0
2022-12-02 06:00:00+00:00,29.660769230769233,45.596923076923076,43.76846153846154,24.786153846153848,1.0,1011.1538461538462,1137.0,10.0
2022-12-02 07:00:00+00:00,29.67,44.973846153846154,46.060769230769225,18.145384615384618,1.0,1142.4615384615386,1.0,10.0
2022-12-02 08:00:00+00:00,29.662307692307692,45.403076923076924,47.408461538461545,23.636153846153846,1.0,1019.2307692307693,1004.0,10.0
2022-12-02 09:00:00+00:00,29.68307692307692,44.89076923076924,49.00076923076923,21.33230769230769,870.6666666666666,565.2307692307693,846.0,10.0
2022-12-02 10:00:00+00:00,29.749375,36.387499999999996,73.7775,20.4975,581.5,322.75,443.75,8.328125
2022-12-02 11:00:00+00:00,29.82,30.189411764705884,87.77411764705883,27.28,289.88235294117646,130.41176470588235,199.64705882352942,3.088235294117647
2022-12-02 12:00:00+00:00,29.907857142857143,30.25142857142857,81.04357142857144,20.300714285714285,502.46153846153845,241.42857142857142,382.92857142857144,7.785714285714286
2022-12-02 13:00:00+00:00,29.96764705882353,28.961176470588235,85.51352941176471,13.200000000000001,533.4117647058823,147.1764705882353,294.1764705882353,5.955882352941177
2022-12-02 14:00:00+00:00,30.033076923076923,28.37230769230769,86.04923076923077,16.286923076923078,829.0,574.2307692307693,742.4444444444445,10.0
